model,MAE,RMSE,R2,train_time_s,inference_time_s,inference_time_per_sample_s,n_features,removed_low_variance_columns,params_json,search_strategy,selected_by,n_configs_evaluated,search_time_s
LightGBM,41.56735307789837,56.32121816280962,0.5967895704426692,1.0645949999961886,0.06749549999949522,5.645796737724402e-06,25,,"{""learning_rate"": 0.03, ""min_child_samples"": 20, ""n_estimators"": 300, ""num_leaves"": 63}",limited_random_search,RMSE_validation,20,21.636170600002515
LightGBM,41.658294380599116,56.4144756107837,0.5954531821985884,1.0563211000044248,0.06483550000120886,5.423295692280122e-06,25,,"{""learning_rate"": 0.03, ""min_child_samples"": 10, ""n_estimators"": 300, ""num_leaves"": 63}",limited_random_search,RMSE_validation,20,21.636170600002515
LightGBM,41.951789175175165,56.43897826206425,0.5951016900629007,0.8449089999994612,0.057601900000008754,4.818226683396801e-06,25,,"{""learning_rate"": 0.03, ""min_child_samples"": 20, ""n_estimators"": 300, ""num_leaves"": 31}",limited_random_search,RMSE_validation,20,21.636170600002515
LightGBM,41.4545746398518,56.50198824665024,0.5941971067926584,1.526188900003035,0.10901780000131112,9.119012965396162e-06,25,,"{""learning_rate"": 0.03, ""min_child_samples"": 20, ""n_estimators"": 500, ""num_leaves"": 63}",limited_random_search,RMSE_validation,20,21.636170600002515
LightGBM,41.43470289659666,56.522973485583705,0.5938956146729819,0.9563593999992008,0.06124879999697441,5.123278962523999e-06,25,,"{""learning_rate"": 0.05, ""min_child_samples"": 20, ""n_estimators"": 300, ""num_leaves"": 63}",limited_random_search,RMSE_validation,20,21.636170600002515
LightGBM,41.72629921800515,56.54475787747554,0.5935825227978094,0.7606233000042266,0.05169249999744352,4.323923044537308e-06,25,,"{""learning_rate"": 0.05, ""min_child_samples"": 20, ""n_estimators"": 300, ""num_leaves"": 31}",limited_random_search,RMSE_validation,20,21.636170600002515
LightGBM,41.780753785028175,56.55169113777,0.5934828505729659,1.1214548000061768,0.0879200999988825,7.354253450345672e-06,25,,"{""learning_rate"": 0.03, ""min_child_samples"": 10, ""n_estimators"": 500, ""num_leaves"": 31}",limited_random_search,RMSE_validation,20,21.636170600002515
LightGBM,41.787834876720225,56.56115256762245,0.5933468137838108,1.104196000000229,0.08915210000122897,7.457306566393055e-06,25,,"{""learning_rate"": 0.03, ""min_child_samples"": 20, ""n_estimators"": 500, ""num_leaves"": 31}",limited_random_search,RMSE_validation,20,21.636170600002515
LightGBM,41.76694048849371,56.64992120498771,0.5920693866374691,0.8733902000021772,0.06938530000479659,5.803872856946599e-06,25,,"{""learning_rate"": 0.05, ""min_child_samples"": 20, ""n_estimators"": 500, ""num_leaves"": 15}",limited_random_search,RMSE_validation,20,21.636170600002515
LightGBM,41.96894188068242,56.654342563095916,0.5920057086068661,0.5883199000018067,0.04110489999584388,3.438301965357079e-06,25,,"{""learning_rate"": 0.05, ""min_child_samples"": 10, ""n_estimators"": 300, ""num_leaves"": 15}",limited_random_search,RMSE_validation,20,21.636170600002515
